Wall time,Step,Value
1617342357.3744721,60,0.8927480578422546
1617342694.67385,190,0.8794670701026917
1617342839.0994399,250,0.8767905235290527
1617343252.752589,410,0.8750021457672119
1617343300.738827,430,0.8747690320014954
1617343372.8967927,460,0.876084566116333
1617343569.5450203,540,0.8716174960136414
1617343666.3111587,570,0.8694615960121155
1617344028.7357965,720,0.837646484375
1617344128.9197276,750,0.8188982605934143
1617344636.2074485,950,0.6035178303718567
1617344832.48896,1030,0.5296369194984436
1617344904.6998954,1060,0.47455140948295593
1617344928.7701788,1070,0.4655722677707672
1617345122.2360668,1140,0.4013994336128235
1617345439.1410336,1270,0.35737210512161255
1617345777.1763275,1400,0.3374921381473541
1617346071.2251394,1510,0.3257600963115692
1617346191.3655808,1560,0.3185632526874542
1617346263.5476677,1590,0.31637999415397644
1617346505.6420624,1680,0.31246325373649597
1617346774.1186056,1790,0.2993069589138031
1617346895.3404114,1840,0.2950258255004883
1617346967.8757226,1860,0.2943398356437683
1617346991.8058383,1870,0.2896495461463928
1617347088.806415,1910,0.2829446494579315
1617347284.751697,1990,0.2701747417449951
1617347502.3883247,2070,0.2423412799835205
1617347526.4595044,2080,0.23865266144275665
1617347647.7160158,2130,0.22294507920742035
1617347940.888472,2240,0.19322508573532104
1617348085.168634,2300,0.17517200112342834
1617348206.4225883,2350,0.16492854058742523
1617348595.6670525,2500,0.14189761877059937
1617348740.5231588,2560,0.13142678141593933
1617348886.1340406,2610,0.1269143521785736
1617349057.3282375,2680,0.12312740087509155
1617349154.1577716,2720,0.11903825402259827
1617349202.1616104,2740,0.1136472150683403
1617349687.713979,2930,0.10381180047988892
1617349832.2634213,2980,0.10259538143873215
1617349977.05554,3040,0.098050557076931
1617350097.0456057,3090,0.09824319928884506
1617350145.958221,3110,0.10309010744094849
1617350365.7702527,3190,0.09599772095680237
1617350389.7477808,3200,0.09736798703670502
1617350655.5084007,3310,0.09040369093418121
1617350899.3114772,3400,0.09105615317821503
1617351092.138098,3480,0.0865759402513504
1617351505.7923365,3640,0.07657039165496826
1617351601.742199,3680,0.0787092074751854
1617351867.0223627,3780,0.08307015150785446
1617352982.9858642,4220,0.07044446468353271
1617353006.990339,4230,0.07211537659168243
1617353443.6945522,4400,0.06883732229471207
1617353517.1521075,4420,0.06629917770624161
1617353541.0671766,4430,0.06876453012228012
1617353612.934595,4460,0.07099714875221252
1617353757.7307372,4520,0.06870584934949875
1617354002.51104,4610,0.06738773733377457
1617354074.3550649,4640,0.06592775136232376
1617354098.3217828,4650,0.06758642196655273
1617354339.153773,4750,0.06387735158205032
1617354776.4154205,4920,0.06267941743135452
1617354824.4137728,4940,0.06334170699119568
1617355309.8615856,5130,0.06325434148311615
1617355357.8195117,5150,0.06104092299938202
1617355454.4368997,5180,0.058895841240882874
1617355647.1425273,5260,0.059648700058460236
1617355795.5371919,5320,0.06000258028507233
1617355867.9446442,5340,0.06056938320398331
1617355939.7584271,5370,0.055708739906549454
1617356084.4836695,5430,0.05805736407637596
1617356204.3946218,5480,0.05456310883164406
1617356473.0675316,5580,0.05682095140218735
1617356617.8263266,5640,0.05601248890161514
1617356761.7331676,5700,0.05937505513429642
1617356883.160255,5740,0.05448893457651138
1617357030.309371,5800,0.053896620869636536
1617357079.2415774,5820,0.055322833359241486
1617357151.1693926,5850,0.052977174520492554
1617357199.1262186,5870,0.0578821524977684
1617357223.0897691,5880,0.0592360682785511
1617357368.430117,5930,0.05403750389814377
1617357392.3997316,5940,0.055736005306243896
1617357612.5964346,6030,0.05621637776494026
1617357949.7025387,6160,0.05333448946475983
1617358070.5757816,6210,0.05196171998977661
1617358118.5317872,6230,0.05363819748163223
1617358434.8840864,6350,0.05300702899694443
1617358603.675761,6420,0.0513823963701725
1617358627.6660285,6430,0.051049426198005676
1617358700.4286828,6450,0.051395170390605927
1617358772.225455,6480,0.05310063809156418
1617358823.630597,6500,0.05192232131958008
1617359113.2132235,6620,0.05173729360103607
1617359209.8583817,6650,0.05373687669634819
1617359305.6848085,6690,0.05055243521928787
1617359378.508314,6720,0.05021823197603226
1617359453.9576554,6750,0.048594653606414795
1617359549.8730538,6790,0.048989951610565186
1617359573.8623528,6800,0.04855993017554283
1617359695.2750125,6840,0.04963747411966324
1617359815.1034243,6890,0.048774171620607376
1617360276.5937395,7070,0.04981629550457001
1617360469.3347344,7150,0.04847358539700508
1617360590.031872,7190,0.04705964773893356
1617360689.9758196,7230,0.04651658982038498
1617360713.9409647,7240,0.04843592643737793
1617360882.6147456,7310,0.04609467461705208
1617361122.817804,7400,0.04836134612560272
1617361219.5816214,7440,0.046474628150463104
1617361318.7801538,7480,0.04429609328508377
1617361439.5279286,7530,0.04845041781663895
1617361560.0033903,7570,0.045319315046072006
1617361776.584172,7660,0.04508195072412491
1617361876.0552874,7700,0.04669628292322159
1617361900.9059114,7710,0.04494917765259743
1617361924.8569946,7720,0.046444885432720184
1617361997.3255794,7740,0.0450676865875721
1617362021.2092044,7750,0.04487869143486023
1617362165.8331301,7810,0.04593987390398979
1617362285.6865313,7860,0.04752569645643234
1617362333.6415696,7880,0.04624859616160393
1617362479.198007,7930,0.044197723269462585
1617362506.3868976,7940,0.045624688267707825
1617362530.3293717,7950,0.046545159071683884
1617362626.2753897,7990,0.045904312282800674
1617362723.0810647,8030,0.044638149440288544
1617362843.00861,8080,0.04458692669868469
1617362867.0031881,8090,0.04645075649023056
1617362915.6867974,8100,0.04424178600311279
1617363497.6204572,8330,0.043761201202869415
1617363593.523429,8370,0.04387754201889038
1617363641.4694088,8390,0.0439828597009182
1617363765.8296804,8440,0.044047147035598755
1617364442.960113,8700,0.04511382430791855
1617364563.7565417,8750,0.04108777642250061
1617364611.7173502,8770,0.043506260961294174
1617364756.4929576,8830,0.04273926466703415
1617364976.8797958,8910,0.04065824672579765
1617365120.7503848,8970,0.04157570004463196
1617365217.549993,9010,0.04392540082335472
1617365409.8887408,9080,0.043004993349313736
1617365457.8267803,9100,0.04339972510933876
1617365606.0568154,9160,0.04549065977334976
1617365654.0197833,9180,0.04205504432320595
1617366015.7046733,9320,0.04114072024822235
1617366039.6728723,9330,0.04168244078755379
1617366111.567906,9360,0.04107366502285004
1617366308.4185548,9430,0.03912067785859108
1617366380.2966383,9460,0.04175499826669693
1617366596.96291,9550,0.042416684329509735
1617366717.4103425,9590,0.04061700403690338
1617366793.4919498,9620,0.03902742639183998
1617366817.454809,9630,0.03891401365399361
1617367033.9928682,9720,0.041342876851558685
1617367057.9482963,9730,0.03860757127404213
1617367178.3020735,9770,0.03783527389168739
1617367226.158234,9790,0.039714232087135315
1617367250.1165946,9800,0.03939787670969963
1617367370.880809,9850,0.039474181830883026
1617367470.2130218,9890,0.03881707042455673
1617367687.2595322,9970,0.041471149772405624
1617367784.009478,10010,0.04078784957528114
1617367831.963866,10030,0.039160531014204025
1617367903.915113,10060,0.03772379830479622
1617368148.4481194,10150,0.03776837885379791
1617368220.3209755,10180,0.03756643459200859
1617368412.9011428,10260,0.04119665548205376
1617368729.2421508,10380,0.03690662980079651
1617368897.9685075,10450,0.03603295236825943
1617369238.6319442,10580,0.036151885986328125
1617369383.3340902,10640,0.03631133586168289
1617369455.2756145,10670,0.03528015688061714
1617369527.8646402,10690,0.036285288631916046
1617369624.5713232,10730,0.03513440489768982
1617369720.4999535,10770,0.03345741331577301
1617369768.4611275,10790,0.03432512655854225
1617369892.7785642,10840,0.03457343950867653
1617369916.7559705,10850,0.033815182745456696
1617370157.717236,10940,0.03360629826784134
1617370301.5514057,11000,0.03418903052806854
1617370398.320899,11040,0.03406241908669472
1617370447.0882454,11050,0.03394787758588791
1617370690.7688496,11150,0.033676642924547195
1617370810.5675054,11200,0.03454692289233208
1617371176.067701,11340,0.03160780668258667
1617371733.1655254,11560,0.03163360059261322
1617371757.1290069,11570,0.03152088820934296
1617371878.389705,11610,0.033805541694164276
1617371902.289937,11620,0.032130904495716095
1617371926.2401857,11630,0.03187815099954605
1617372387.5269387,11810,0.03221532702445984
1617372676.1155405,11930,0.03492731600999832
1617372700.094028,11940,0.030411042273044586
1617372868.4736402,12000,0.0313480980694294
1617372920.5799558,12020,0.03229638561606407
1617373040.4796405,12070,0.03300843760371208
1617373718.9556954,12330,0.03155174478888512
1617373766.7251382,12350,0.029222654178738594
1617374007.2380602,12450,0.030918437987565994
1617374299.9588497,12560,0.028824033215641975
1617374371.8671007,12590,0.028690185397863388
1617374444.770836,12620,0.02854018658399582
1617374954.0530338,12820,0.02891848422586918
1617375097.9305012,12880,0.029306210577487946
1617375291.1089215,12950,0.028379052877426147
1617375439.2091777,13010,0.028516976162791252
1617375704.265382,13110,0.02699994668364525
1617375824.1417832,13160,0.02983674593269825
1617375848.1182723,13170,0.027401970699429512
1617375920.0655851,13200,0.028393719345331192
1617376140.7231665,13280,0.026984624564647675
1617376213.5460205,13310,0.02875269576907158
1617376285.487679,13340,0.02695738524198532
1617376357.4226108,13370,0.026384888216853142
1617376381.4047825,13380,0.02773905172944069
1617376842.6061347,13560,0.027685320004820824
1617377232.2679684,13710,0.026589319109916687
1617377617.105339,13860,0.026124417781829834
1617377688.9979708,13890,0.025388503447175026
1617377712.9845755,13900,0.02688484452664852
